Timestamp,Daily Usage (kWh)
2024-07-28,4.18
2024-07-29,8.35
2024-07-30,4.48
2024-07-31,9.31
2024-08-01,14.83
2024-08-02,5.71
2024-08-03,2.5300000000000002
2024-08-04,8.19
2024-08-05,11.71
2024-08-06,7.63
2024-08-07,16.669999999999998
2024-08-08,15.25
2024-08-09,13.56
2024-08-10,16.65
2024-08-11,7.33
2024-08-12,9.75
2024-08-13,11.14
2024-08-14,11.35
2024-08-15,14.46
2024-08-16,15.78
2024-08-17,9.85
2024-08-18,12.74
2024-08-19,15.92
2024-08-20,12.73
2024-08-21,10.93
2024-08-22,9.63
2024-08-23,8.99
2024-08-24,6.99
2024-08-25,15.94
2024-08-26,16.47
2024-08-27,13.879999999999999
2024-08-28,11.39
2024-08-29,16.56
2024-08-30,7.45
2024-08-31,6.39
2024-09-01,12.43
2024-09-02,13.78
2024-09-03,10.93
2024-09-04,13.19
2024-09-05,18.93
2024-09-06,12.780000000000001
2024-09-07,14.0
2024-09-08,12.49
2024-09-09,15.68
2024-09-10,11.18
2024-09-11,11.46
2024-09-12,9.34
2024-09-13,9.19
2024-09-14,10.02
2024-09-15,16.07
2024-09-16,13.08
2024-09-17,16.96
2024-09-18,7.46
2024-09-19,16.93
2024-09-20,12.64
2024-09-21,15.99
2024-09-22,13.63
2024-09-23,22.03
2024-09-24,25.63
2024-09-25,16.77
2024-09-26,11.76
2024-09-27,12.96
2024-09-28,15.03
2024-09-29,8.05
2024-09-30,11.13
2024-10-01,18.52
2024-10-02,29.01
2024-10-03,22.15
2024-10-04,29.5
2024-10-05,11.63
2024-10-06,27.51
2024-10-07,46.69
2024-10-08,26.24
2024-10-09,12.59
2024-10-10,14.35
2024-10-11,10.4
2024-10-12,5.12
2024-10-13,5.49
2024-10-14,12.79
2024-10-15,9.12
2024-10-16,21.35
2024-10-17,15.51
2024-10-18,16.59
2024-10-19,7.51
2024-10-20,10.26
2024-10-21,17.71
2024-10-22,19.29
2024-10-23,7.2700000000000005
2024-10-24,10.0
2024-10-25,15.5
2024-10-26,14.35
2024-10-27,8.23
2024-10-28,19.74
2024-10-29,11.0
2024-10-30,8.95
2024-10-31,7.76
2024-11-01,8.91
2024-11-02,6.13
2024-11-03,7.98
2024-11-04,17.85
2024-11-05,6.38
2024-11-06,11.26
2024-11-07,9.77
2024-11-08,17.64
2024-11-09,7.04
2024-11-10,7.07
2024-11-11,9.55
2024-11-12,9.76
2024-11-13,36.019999999999996
2024-11-14,14.57
2024-11-15,14.06
2024-11-16,12.86
2024-11-17,9.15
2024-11-18,17.32
2024-11-19,48.49
2024-11-20,43.79
2024-11-21,8.34
2024-11-22,10.81
2024-11-23,10.99
2024-11-24,34.86
2024-11-25,18.27
2024-11-26,34.75
2024-11-27,21.12
2024-11-28,59.540000000000006
2024-11-29,38.230000000000004
